,customerID,age,age_group
3879,60942,41,MIDDLE-AGED
3880,63355,40,MIDDLE-AGED
3889,58622,32,ADULT
3897,155700,36,MIDDLE-AGED
3900,52607,13,YOUTH
3905,50608,57,SENIOR
3924,70986,48,MIDDLE-AGED
3928,154907,25,ADULT
3931,50831,31,ADULT
3934,56428,43,MIDDLE-AGED
3942,75331,28,ADULT
3960,54626,46,MIDDLE-AGED
3962,68878,41,MIDDLE-AGED
3973,69615,40,MIDDLE-AGED
3988,61230,28,ADULT
3995,51786,44,MIDDLE-AGED
4002,60580,38,MIDDLE-AGED
4008,69783,42,MIDDLE-AGED
4014,52186,53,SENIOR
4019,58933,44,MIDDLE-AGED
4021,58462,28,ADULT
4024,64123,49,MIDDLE-AGED
4028,56195,25,ADULT
4034,74631,52,SENIOR
4040,155065,41,MIDDLE-AGED
4056,61239,37,MIDDLE-AGED
4060,64063,29,ADULT
4068,60860,39,MIDDLE-AGED
4081,71851,42,MIDDLE-AGED
4092,59888,53,SENIOR
4108,156319,49,MIDDLE-AGED
4109,61128,44,MIDDLE-AGED
4112,55283,33,ADULT
4115,64260,42,MIDDLE-AGED
4120,155119,46,MIDDLE-AGED
4125,58585,34,ADULT
4131,61074,38,MIDDLE-AGED
4137,157907,27,ADULT
4144,53100,42,MIDDLE-AGED
4145,74412,45,MIDDLE-AGED
4150,70017,41,MIDDLE-AGED
4153,78266,35,ADULT
4159,79492,53,SENIOR
4173,60877,40,MIDDLE-AGED
4175,79708,67,SENIOR
4180,52458,28,ADULT
4184,50549,31,ADULT
4191,55276,48,MIDDLE-AGED
4194,76605,36,MIDDLE-AGED
4201,74641,30,ADULT
4204,55673,42,MIDDLE-AGED
4209,68869,37,MIDDLE-AGED
4218,60537,23,ADULT
4226,75764,37,MIDDLE-AGED
4232,71739,43,MIDDLE-AGED
4239,156948,46,MIDDLE-AGED
4247,56856,40,MIDDLE-AGED
4258,67277,39,MIDDLE-AGED
4264,64396,38,MIDDLE-AGED
4270,52996,34,ADULT
4273,75236,37,MIDDLE-AGED
4275,69975,56,SENIOR
4280,58248,44,MIDDLE-AGED
4288,58172,24,ADULT
4294,62604,45,MIDDLE-AGED
4299,65109,48,MIDDLE-AGED
4309,156644,39,MIDDLE-AGED
4317,76362,30,ADULT
4321,59441,44,MIDDLE-AGED
4328,76594,14,YOUTH
4331,56224,29,ADULT
4346,62647,43,MIDDLE-AGED
4356,52869,39,MIDDLE-AGED
4360,59010,33,ADULT
4368,72728,32,ADULT
4370,77645,30,ADULT
4377,56621,45,MIDDLE-AGED
4382,79500,24,ADULT
4385,54769,45,MIDDLE-AGED
4398,56478,49,MIDDLE-AGED
4401,54399,34,ADULT
